k141,CAT_data
k141_1000083,N/A
k141_10004117,N/A
k141_10004176,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00,FCB,group,(clade):,1.00,Bacteroidetes/Chlorobi,group,(clade):,1.00,Bacteroidetes,(phylum):,1.00,Flavobacteriia,(class):,1.00,Flavobacteriales,(order):,1.00,Flavobacteriaceae,(family):,1.00,unclassified,Flavobacteriaceae,(no,rank):,1.00,Flavobacteriaceae,bacterium,TMED42,(species):,1.00"
k141_10006405,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.72"
k141_10007630,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.68,Bacteria,(superkingdom):,0.58,PVC,group,(clade):,0.58,Verrucomicrobia,(phylum):,0.58,unclassified,Verrucomicrobia,(no,rank):,0.58,Verrucomicrobia,bacterium,(species):,0.58"
k141_10008235,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Eukaryota,(superkingdom):,1.00"
k141_10010387,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.57,Bacteria,(superkingdom):,0.57"
k141_10011408,N/A
k141_10012692,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.54,Bacteria,(superkingdom):,0.54,FCB,group,(clade):,0.54,Bacteroidetes/Chlorobi,group,(clade):,0.54,Bacteroidetes,(phylum):,0.54,Bacteroidetes,Order,II.,Incertae,sedis,(order):,0.54,Rhodothermaceae,(family):,0.54,unclassified,Rhodothermaceae,(no,rank):,0.54,Rhodothermaceae,bacterium,TMED105,(species):,0.54"
k141_10014960,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00"
k141_10015347,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Eukaryota,(superkingdom):,1.00,Haptista,(phylum):,1.00,Haptophyta,(class):,1.00,Prymnesiophyceae,(clade):,1.00,Isochrysidales,(order):,1.00,Noelaerhabdaceae,(family):,1.00,Emiliania,(genus):,1.00,Emiliania,huxleyi,(species):,1.00,Emiliania,huxleyi,CCMP1516*,(strain):,1.00"
k141_10016958,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,0.56,Terrabacteria,group,(clade):,0.56,Actinobacteria,(phylum):,0.56,Acidimicrobiia,(class):,0.56,Acidimicrobiales,(order):,0.56,Acidimicrobiaceae,(family):,0.56,unclassified,Acidimicrobiaceae,(no,rank):,0.56,Acidimicrobiaceae,bacterium,(species):,0.56"
k141_10018373,"root,(no,rank):,1.00"
k141_10020377,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00,Terrabacteria,group,(clade):,1.00,Cyanobacteria/Melainabacteria,group,(clade):,1.00,Cyanobacteria,(phylum):,1.00"
k141_10062212,N/A
k141_10063526,N/A
k141_10063884,root
k141_10064092,"root,(no,rank):,1.00,cellular,organisms,(no,rank):"
k141_10064615,"root,(no,rank):,1.00,cellular,organisms,(no,rank):"
k141_10065342,"root,(no,rank):,1.00"
k141_10069299,"root,(no,rank):,1.00"
k141_10070340,"root,(no,rank):,1.00,cellular,organisms,(n"
k141_10071482,"root,(no,rank):,1.00,cellular,organisms,(no,rank):"
k141_10072185,"root,(no,rank):,1.00"
k141_10072222,"root,(no,rank):,1.00,cellular,organisms,(no,rank):"
k141_10073450,N/A
k141_10074325,"root,(no,rank):,1.00"
k141_10074505,N/A
